bioguide_id,speculated_age,gender,is_white,is_blonde,is_smiling,has_american_flag,wears_dark_suit
A000055,50,male,True,False,True,False,True
A000148,32,male,True,False,True,True,True
A000360,70,male,True,False,True,False,True
A000367,40,male,True,False,True,True,True
A000369,50,male,True,True,True,False,True
A000370,75,female,False,False,True,False,True
A000371,40,male,False,False,True,False,True
A000372,68,male,True,False,True,False,True
A000374,60,male,True,False,True,False,True
A000375,48,male,True,False,True,False,False
A000376,40,male,False,False,True,True,True
A000377,45,male,True,False,True,True,True
A000378,50,female,True,False,True,True,False
A000379,60,male,True,False,True,False,True
A000380,40,male,False,False,True,False,True
B000213,70,male,True,False,True,False,True
B000490,70,male,False,False,True,False,False
B000574,68,male,True,False,True,False,True
B000575,70,male,True,False,True,False,True
B000668,65,male,True,False,True,True,True
B000740,48,female,True,False,True,True,True
B000755,65,male,True,False,True,False,True
B000825,35,female,True,False,True,True,False
B000944,58,male,True,False,True,False,False
B001135,60,male,True,False,True,False,True
B001223,47,male,False,False,True,True,True
B001224,42,female,False,False,True,True,True
B001227,68,male,True,False,True,False,True
B001230,50,female,True,True,True,False,True
B001236,68,male,True,False,True,False,True
B001243,65,female,True,True,True,False,False
B001245,75,female,True,False,True,False,False
B001248,62,male,True,False,True,False,True
B001250,72,male,True,False,True,True,True
B001251,68,male,True,False,True,False,True
B001257,50,male,True,False,True,False,True
B001260,60,male,True,False,True,False,True
B001261,60,male,True,False,True,False,True
B001267,48,male,True,False,True,False,False
B001269,60,male,True,False,True,False,True
B001270,60,female,False,False,True,False,False
B001273,68,female,True,True,True,False,True
B001274,65,male,True,False,True,False,True
B001275,52,male,True,False,True,False,True
B001277,70,male,True,False,True,False,True
B001278,60,female,True,False,True,False,False
B001281,70,female,False,False,True,False,False
B001282,40,male,True,False,True,False,True
B001284,65,female,True,True,True,False,True
B001285,68,female,True,False,True,False,True
B001286,50,female,True,False,True,False,False
B001287,50,male,False,False,True,False,True
B001288,50,male,False,False,True,False,True
B001289,68,male,True,False,True,False,True
B001290,51,male,True,False,True,False,True
B001291,68,male,True,False,False,False,True
B001292,70,male,True,False,True,False,True
B001293,55,male,True,False,True,False,True
B001294,60,male,True,False,True,False,True
B001295,58,male,True,False,True,False,True
B001296,40,male,True,False,True,False,True
B001297,65,male,True,False,True,False,True
B001298,52,male,True,False,True,True,True
B001299,40,male,True,False,True,False,True
B001300,48,female,False,False,True,False,False
B001301,75,male,True,False,True,True,True
B001302,62,male,True,False,True,True,False
B001303,55,female,False,False,True,False,False
B001304,55,male,False,False,True,True,True
B001305,50,male,True,False,True,False,True
B001306,58,male,True,False,True,True,True
B001307,75,male,True,False,True,True,True
B001308,42,male,True,False,True,True,True
B001309,55,male,True,False,True,True,True
B001310,68,male,True,False,True,True,True
B001311,60,male,True,False,True,True,True
B001312,60,female,True,False,True,True,False
B001313,45,female,False,False,True,True,False
B001314,52,male,True,False,True,False,True
B001315,48,female,True,True,True,False,False
B001316,52,male,True,False,True,False,True
B001317,48,male,True,False,True,False,True
B001318,54,female,True,False,True,False,True
C000059,50,male,True,False,True,False,True
C000127,50,female,True,False,True,False,True
C000141,75,male,True,False,True,False,True
C000174,55,male,True,False,True,False,True
C000266,60,male,True,True,True,False,True
C000537,75,male,False,False,True,False,True
C000754,70,male,True,False,True,False,True
C000880,60,male,True,False,True,False,True
C000984,68,male,False,False,False,False,True
C001035,65,female,True,False,True,False,True
C001037,50,male,True,False,True,False,True
C001038,50,male,True,False,True,False,True
C001039,36,female,True,True,True,True,False
C001047,58,female,True,True,True,False,False
C001048,55,male,True,False,True,False,True
C001049,60,male,False,False,True,False,True
C001051,82,male,True,False,True,False,True
C001053,65,male,True,False,True,False,True
C001054,68,male,True,False,True,True,True
C001055,65,male,True,False,True,True,True
C001056,70,male,True,False,True,False,True
C001059,65,male,True,False,True,False,False
C001061,65,male,False,False,True,False,True
C001062,65,male,True,False,True,False,True
C001063,50,male,True,False,True,False,True
C001066,55,female,True,False,True,False,False
C001067,55,female,False,False,True,False,True
C001068,70,male,True,False,True,False,True
C001069,65,male,True,False,True,False,True
C001070,55,male,True,False,True,False,True
C001071,68,male,True,False,True,False,True
C001072,48,male,False,False,True,False,True
C001075,55,male,True,False,True,False,True
C001077,62,male,True,False,True,False,True
C001078,65,male,True,False,False,False,False
C001080,70,female,False,False,True,False,True
C001084,55,male,True,False,True,False,True
C001087,50,male,True,False,True,False,True
C001088,50,male,True,True,False,True,True
C001090,55,male,True,False,True,False,True
C001091,40,male,False,False,True,False,True
C001092,60,male,True,False,True,False,True
C001093,50,male,True,False,True,False,True
C001094,70,male,True,True,True,False,True
C001095,40,male,True,False,True,False,True
C001096,60,male,True,False,True,False,True
C001097,50,male,False,False,True,False,True
C001098,43,male,True,False,True,False,True
C001101,50,female,True,False,True,False,False
C001103,60,male,True,False,True,False,True
C001104,28,male,True,False,True,True,True
C001105,58,female,True,True,True,False,True
C001106,40,male,True,False,True,False,True
C001107,42,male,False,False,True,False,True
C001108,50,male,True,True,True,True,True
C001109,57,female,True,True,True,True,False
C001110,60,male,False,False,True,False,True
C001111,65,male,True,False,True,True,True
C001112,55,male,False,False,True,False,True
C001113,55,female,True,False,True,True,False
C001114,60,male,True,False,True,False,True
C001115,48,male,True,False,True,True,True
C001116,60,male,True,False,True,True,True
C001117,50,male,True,False,True,True,True
C001118,48,male,True,False,True,True,True
C001119,50,female,True,False,True,True,True
C001120,35,male,True,False,True,True,True
C001121,45,male,True,False,True,True,True
C001122,40,male,True,False,True,True,True
C001123,55,male,False,False,True,True,True
C001124,54,male,False,False,True,True,True
C001125,55,male,False,False,True,True,True
C001126,45,male,True,False,True,True,True
C001127,37,female,False,False,True,False,True
C001129,60,male,True,False,True,False,False
C001130,38,female,False,False,True,False,False
C001131,32,male,True,False,True,False,True
C001132,40,male,True,False,False,False,True
C001133,48,male,True,False,True,False,True
C001134,45,female,True,False,True,False,True
C001135,55,female,True,False,True,False,False
D000032,42,male,False,False,True,True,True
D000096,75,male,False,False,False,False,True
D000191,70,male,True,False,True,False,True
D000197,65,female,True,False,True,False,True
D000216,80,female,True,False,True,False,False
D000230,50,male,False,False,True,False,True
D000399,75,male,True,False,True,False,True
D000482,60,male,True,False,True,False,True
D000530,40,male,True,False,True,False,True
D000533,68,male,True,False,True,False,True
D000563,65,male,True,False,True,False,True
D000594,50,female,True,False,True,False,False
D000598,60,female,True,False,True,False,False
D000600,50,male,True,False,True,False,True
D000607,58,male,True,False,True,False,True
D000610,55,male,True,False,True,False,True
D000612,50,male,True,True,True,False,True
D000614,42,male,True,False,True,False,True
D000615,50,male,True,False,True,False,True
D000616,55,male,True,False,True,False,True
D000617,58,female,True,False,True,False,False
D000618,52,male,True,False,True,False,True
D000619,45,male,True,False,True,False,True
D000620,58,male,True,False,True,False,True
D000622,48,female,False,False,True,False,True
D000623,70,male,True,False,True,False,True
D000624,65,female,True,True,True,False,True
D000625,60,male,True,False,True,False,True
D000626,48,male,True,False,True,False,True
D000627,60,female,False,False,True,True,True
D000628,60,male,True,False,True,False,True
D000629,43,female,False,False,True,False,True
D000630,40,male,False,False,True,True,True
D000631,60,female,True,True,True,True,True
D000632,40,male,True,False,True,False,True
D000633,55,male,True,False,True,False,True
E000071,50,male,True,False,True,True,True
E000179,60,male,True,False,True,False,True
E000215,68,female,True,False,True,False,True
E000235,70,male,True,False,True,False,True
E000246,60,male,True,False,True,False,True
E000285,70,male,True,False,True,False,True
E000288,50,male,False,False,False,False,True
E000293,59,female,True,False,True,True,False
E000294,60,male,True,False,True,False,True
E000295,50,female,True,False,True,True,True
E000296,60,male,False,False,True,False,True
E000297,65,male,False,False,True,False,True
E000298,68,male,True,False,True,True,True
E000299,45,female,False,False,True,True,True
F000062,70,female,True,False,True,False,False
F000246,48,male,True,False,True,True,True
F000372,70,male,True,False,True,False,True
F000444,50,male,True,False,True,False,True
F000446,45,male,True,False,True,True,True
F000449,55,male,True,False,True,False,True
F000450,70,female,True,False,True,False,False
F000454,55,male,True,False,True,False,True
F000455,60,female,False,False,True,False,True
F000459,50,male,True,False,True,False,True
F000461,60,male,True,False,True,False,True
F000462,65,female,True,False,True,False,False
F000463,73,female,True,False,True,False,True
F000464,65,male,True,False,True,True,True
F000465,58,male,True,False,True,True,True
F000466,50,male,True,False,True,True,True
F000467,31,female,True,False,True,True,True
F000468,50,female,True,True,True,False,False
F000469,52,male,True,False,True,True,True
F000470,60,female,True,True,True,True,True
F000471,65,male,True,False,True,True,True
F000472,58,male,True,False,True,True,True
F000474,40,male,True,False,True,False,True
F000475,50,male,True,False,True,False,True
F000476,27,male,False,False,True,False,False
F000477,80,female,False,False,True,False,False
F000478,53,male,True,False,True,False,True
F000479,54,male,True,False,False,False,True
G000061,48,male,True,False,True,True,True
G000289,65,male,True,False,True,False,True
G000359,60,male,True,False,True,False,True
G000377,75,female,True,True,True,False,False
G000386,80,male,True,False,True,False,True
G000410,60,male,True,False,False,False,True
G000535,60,male,False,False,True,False,True
G000546,48,male,True,False,True,False,True
G000551,60,male,False,False,True,False,True
G000552,60,male,True,False,True,False,True
G000553,70,male,False,False,True,False,True
G000555,48,female,True,True,True,False,True
G000558,55,male,True,False,True,False,True
G000559,65,male,True,False,True,False,True
G000560,45,male,True,False,True,False,True
G000562,40,male,True,False,True,False,True
G000563,68,male,True,False,True,False,True
G000565,58,male,True,True,True,False,True
G000566,55,male,True,False,True,False,True
G000568,60,male,True,False,False,False,True
G000571,35,female,False,False,True,False,True
G000574,40,male,True,False,False,False,True
G000576,65,male,True,False,True,False,True
G000577,45,male,True,False,True,False,True
G000578,35,male,True,False,True,False,True
G000579,35,male,True,False,True,False,True
G000580,48,male,True,False,True,True,False
G000581,50,male,True,False,True,False,False
G000582,48,female,True,True,True,False,False
G000583,48,male,True,False,True,True,True
G000584,62,male,True,False,True,False,True
G000585,45,male,False,False,True,True,True
G000586,65,male,False,False,True,True,True
G000587,70,female,True,True,True,True,True
G000588,38,male,True,False,True,True,True
G000589,38,male,True,False,True,True,True
G000590,55,male,True,False,True,True,True
G000591,48,male,True,True,True,True,True
G000592,38,male,True,False,True,True,True
G000593,65,male,True,False,True,True,True
G000594,40,male,False,False,True,True,True
G000595,52,male,True,False,True,True,True
G000596,48,female,True,True,True,True,False
G000597,38,male,True,False,True,True,True
G000598,43,male,False,False,True,False,True
G000599,48,male,True,False,True,False,True
G000600,36,female,True,False,True,False,True
H000273,69,male,True,False,True,False,True
H000324,75,male,False,False,True,False,True
H000338,75,male,True,False,False,False,True
H000601,65,male,True,False,True,True,True
H000874,75,male,True,False,True,False,True
H001036,55,male,True,False,True,False,True
H001038,52,male,True,False,True,False,True
H001041,50,male,True,True,True,False,True
H001042,70,female,False,False,True,False,False
H001045,58,male,True,False,True,False,True
H001046,45,male,True,False,False,False,True
H001047,50,male,True,False,True,False,True
H001048,45,male,True,False,True,False,True
H001050,62,female,False,False,True,False,True
H001052,58,male,True,False,True,False,True
H001053,58,female,True,True,True,False,False
H001056,38,female,True,False,True,False,False
H001058,48,male,True,False,True,False,True
H001059,50,male,True,False,True,False,True
H001061,65,male,True,False,True,False,True
H001064,60,male,True,False,True,False,True
H001065,55,male,True,False,True,False,True
H001066,48,male,False,False,True,False,True
H001067,48,male,True,False,True,False,True
H001068,58,male,True,False,True,False,True
H001069,65,female,True,True,True,False,False
H001071,55,male,True,False,True,False,True
H001072,58,male,True,False,True,False,True
H001073,45,male,False,False,True,False,False
H001074,48,male,True,False,True,False,True
H001075,46,female,False,False,True,True,True
H001076,60,female,True,True,True,True,False
H001077,50,male,True,False,False,True,True
H001078,60,female,True,False,True,True,False
H001079,65,female,True,True,True,True,True
H001080,63,female,False,False,True,True,True
H001081,48,female,False,False,True,True,False
H001082,60,male,True,True,True,True,True
H001083,48,female,True,True,True,False,False
H001084,60,female,True,False,True,True,False
H001085,58,female,True,True,True,True,False
H001086,55,female,True,False,True,True,False
H001088,60,male,True,False,True,True,True
H001089,40,male,True,False,True,True,True
H001090,35,male,True,False,True,True,True
H001091,38,female,True,True,True,True,False
H001093,48,female,True,True,True,False,False
H001094,60,female,True,False,True,False,False
H001095,50,male,False,False,True,False,True
H001096,60,female,True,False,True,False,False
I000024,68,male,True,False,True,False,True
I000055,70,male,True,False,True,False,True
I000056,60,male,True,False,True,False,True
I000058,65,male,False,False,True,False,True
J000020,43,male,True,False,True,True,True
J000032,50,female,False,False,True,False,False
J000126,75,female,False,False,True,False,True
J000174,65,male,True,False,True,False,True
J000255,60,male,True,False,True,False,True
J000288,65,male,False,False,True,False,True
J000289,55,male,True,False,True,False,True
J000290,50,female,True,True,True,False,True
J000292,68,male,True,False,True,False,False
J000293,65,male,True,False,True,False,True
J000294,50,male,False,False,True,False,True
J000295,60,male,True,False,True,False,True
J000298,55,female,False,False,True,True,False
J000299,40,male,True,False,True,False,True
J000300,65,male,True,False,True,False,True
J000301,42,male,True,False,True,True,True
J000302,60,male,True,False,True,True,True
J000304,50,male,True,False,True,True,True
J000305,32,female,True,False,True,True,False
J000306,35,male,False,False,True,True,True
J000308,45,male,True,False,True,False,True
K000009,70,female,True,True,True,False,False
K000188,40,male,True,False,True,False,True
K000210,70,male,True,False,True,False,True
K000362,55,male,True,True,True,False,True
K000367,55,female,True,False,True,False,True
K000368,70,female,True,False,True,False,False
K000375,70,male,True,False,True,False,True
K000376,70,male,True,False,True,False,True
K000377,60,male,True,False,True,False,True
K000378,40,male,True,False,True,True,True
K000379,35,male,True,False,True,False,True
K000380,60,male,True,False,True,False,True
K000381,38,male,True,False,True,False,True
K000382,65,female,True,False,True,False,True
K000383,75,male,True,False,True,False,True
K000384,60,male,True,False,True,False,True
K000385,60,female,False,False,True,False,True
K000386,55,male,True,False,True,False,True
K000387,55,male,True,False,True,False,True
K000388,65,male,True,False,True,False,True
K000389,42,male,False,False,True,True,True
K000390,40,male,True,False,True,True,True
K000391,50,male,False,False,True,True,True
K000392,60,male,True,False,True,True,True
K000393,70,male,True,False,True,True,True
K000394,40,male,False,False,True,True,True
K000395,60,male,True,False,True,True,True
K000396,47,male,False,False,True,True,True
K000397,60,female,False,False,True,True,True
K000398,50,male,True,False,True,False,True
K000399,53,female,True,False,True,False,False
K000400,50,female,False,True,True,False,True
K000401,38,male,True,False,True,False,True
L000174,70,male,True,False,True,False,True
L000263,80,male,True,False,True,False,True
L000266,35,male,True,False,True,True,True
L000273,60,female,False,False,True,True,False
L000287,75,male,False,False,True,False,True
L000397,68,female,True,True,True,False,True
L000480,75,female,True,False,True,False,True
L000491,45,male,True,False,True,False,True
L000551,65,female,False,False,True,False,True
L000554,68,male,True,False,True,False,True
L000557,65,male,True,False,True,False,True
L000559,55,male,True,True,True,False,True
L000560,50,male,True,False,True,False,True
L000562,60,male,True,False,True,False,True
L000563,63,male,True,False,True,False,True
L000564,55,male,True,False,True,False,True
L000565,68,male,True,False,True,False,True
L000566,55,male,True,False,True,False,True
L000567,68,male,True,True,True,False,True
L000569,65,male,True,False,True,False,True
L000570,45,male,True,False,True,False,False
L000571,65,female,True,True,True,False,True
L000573,42,male,False,False,True,False,True
L000575,48,male,True,True,True,False,True
L000576,70,male,True,False,True,False,True
L000577,45,male,True,False,True,False,True
L000578,58,male,True,False,True,False,True
L000579,75,male,True,False,True,False,True
L000581,70,female,False,False,True,False,False
L000582,50,male,False,False,True,False,True
L000583,50,male,True,False,True,False,True
L000584,40,female,False,False,True,False,True
L000585,50,male,True,False,True,False,True
L000586,70,male,False,False,True,True,True
L000587,70,male,True,True,True,False,True
L000588,38,male,True,False,True,False,True
L000589,62,female,True,True,True,False,False
L000590,58,female,True,True,True,True,False
L000591,55,female,True,False,True,True,True
L000592,60,male,True,False,True,True,True
L000593,45,male,True,False,True,True,True
L000594,50,female,True,True,True,True,True
L000595,47,female,True,False,True,False,False
L000597,45,female,True,True,True,False,False
L000598,45,male,True,False,False,False,True
L000600,45,male,True,False,True,False,True
L000603,50,male,True,False,True,False,True
M000087,70,female,True,True,True,False,True
M000133,68,male,True,False,True,False,True
M000194,40,female,True,False,True,True,False
M000312,55,male,True,False,True,False,True
M000317,43,female,True,False,True,True,False
M000355,75,male,True,False,True,False,True
M000639,55,male,True,False,True,False,True
M000687,70,male,False,False,True,True,True
M000871,48,male,True,False,True,True,True
M000934,65,male,True,False,True,False,True
M001111,65,female,True,True,True,False,True
M001135,65,female,True,False,True,True,False
M001136,57,female,True,False,True,True,True
M001137,60,male,False,False,True,False,True
M001143,65,female,True,False,True,False,True
M001153,55,female,True,True,True,False,False
M001156,40,male,True,False,True,False,True
M001157,60,male,True,False,True,False,True
M001158,68,male,True,False,True,False,True
M001159,45,female,True,False,True,False,False
M001160,65,female,False,False,True,False,False
M001163,65,female,False,False,True,False,False
M001165,58,male,True,False,True,False,True
M001166,65,male,True,False,True,False,True
M001169,38,male,True,False,True,False,False
M001170,65,female,True,True,True,False,False
M001176,55,male,True,False,True,False,True
M001177,65,male,True,False,True,False,True
M001179,60,male,True,False,True,False,True
M001180,70,male,True,False,True,False,True
M001183,70,male,True,False,True,False,True
M001184,45,male,True,False,True,False,True
M001185,50,male,True,False,True,False,True
M001186,34,male,True,True,True,True,True
M001187,60,male,True,False,True,False,True
M001188,40,female,False,False,True,False,False
M001189,50,male,True,False,True,False,True
M001190,40,male,True,False,True,False,True
M001193,55,male,True,False,True,False,True
M001194,55,male,True,False,True,False,True
M001195,50,male,True,False,True,False,True
M001196,45,male,True,False,True,False,True
M001197,50,female,True,False,True,False,False
M001198,58,male,True,False,True,True,True
M001199,45,male,True,False,True,False,True
M001200,60,male,False,False,True,True,True
M001201,65,male,True,False,True,True,True
M001202,42,female,False,False,True,False,True
M001203,55,male,True,False,True,True,True
M001204,58,male,True,False,True,True,True
M001205,70,female,True,True,True,True,False
M001206,62,male,True,False,True,True,True
M001207,55,female,True,True,True,True,True
M001208,60,female,False,True,True,True,False
M001209,45,male,True,False,True,True,True
M001210,58,male,True,False,True,True,True
M001211,60,female,True,True,True,True,True
M001212,50,male,True,False,True,True,True
M001213,42,male,True,False,True,True,True
M001214,50,male,True,False,True,True,True
M001215,65,female,True,False,True,True,False
M001216,45,male,True,False,True,False,True
M001218,50,male,True,False,True,False,True
M001219,60,male,False,False,True,False,True
M001220,40,male,True,False,True,False,True
M001221,50,male,True,False,True,False,True
M001223,45,male,True,False,True,False,True
M001224,45,male,True,False,True,False,True
M001225,55,male,True,False,True,False,True
M001226,70,male,True,False,True,False,True
M001227,51,female,False,False,True,False,False
M001228,48,female,True,True,True,False,False
N000002,68,male,True,False,True,False,True
N000015,70,male,True,False,True,False,True
N000026,55,male,True,False,True,True,True
N000032,68,male,True,False,True,False,True
N000127,70,male,True,False,True,False,True
N000147,75,female,False,False,True,False,False
N000179,75,female,True,False,True,False,True
N000181,42,male,True,False,True,False,True
N000184,45,female,True,False,True,False,True
N000188,58,male,True,False,True,False,True
N000189,70,male,True,False,True,False,True
N000190,65,male,True,False,True,False,True
N000191,40,male,False,False,True,True,True
N000192,60,female,True,False,True,True,True
N000193,42,male,True,False,True,False,False
N000194,50,male,True,False,True,False,True
O000019,48,male,True,False,True,True,True
O000086,60,male,False,False,True,True,True
O000168,50,male,True,False,True,False,True
O000170,40,male,True,False,True,False,True
O000171,65,male,True,False,True,False,True
O000172,30,female,False,False,True,True,True
O000173,40,female,False,False,True,True,True
O000174,37,male,True,False,True,False,True
O000175,50,male,True,False,False,False,True
P000034,65,male,True,False,True,False,True
P000048,50,male,True,False,True,True,True
P000096,80,male,True,False,True,False,True
P000145,50,male,False,False,True,True,True
P000197,70,female,True,False,True,False,False
P000258,70,male,True,False,True,False,True
P000449,65,male,True,False,True,False,True
P000523,75,male,True,False,True,False,True
P000588,70,male,True,False,True,False,True
P000592,70,male,True,False,True,False,True
P000593,60,male,True,False,True,False,True
P000594,50,male,True,False,True,False,True
P000595,60,male,True,False,True,False,True
P000597,65,female,True,True,True,False,False
P000598,43,male,True,False,True,False,True
P000599,65,male,True,False,True,False,True
P000601,43,male,True,False,True,False,True
P000603,50,male,True,False,False,False,True
P000604,55,male,False,False,True,False,True
P000605,50,male,True,False,True,False,True
P000606,65,male,True,False,True,False,True
P000607,58,male,True,False,True,False,True
P000608,55,male,True,False,True,False,True
P000609,60,male,True,False,True,False,True
P000610,48,female,False,False,True,False,True
P000611,55,male,True,False,True,False,True
P000612,60,male,True,False,True,True,True
P000613,45,male,True,False,True,False,True
P000614,38,male,True,False,True,True,True
P000615,68,male,True,False,True,True,True
P000616,50,male,True,False,True,True,True
P000617,50,female,False,False,True,True,True
P000618,50,female,True,False,True,False,False
P000619,50,female,False,False,True,False,True
P000620,40,female,True,True,True,True,True
Q000023,55,male,True,False,True,False,True
R000103,62,male,True,False,True,True,True
R000122,60,male,True,False,False,False,True
R000305,60,female,True,False,True,True,True
R000307,75,male,True,False,True,False,True
R000395,80,male,True,False,False,False,True
R000409,70,male,True,False,True,False,False
R000435,60,female,True,True,True,False,False
R000486,70,female,True,False,True,False,False
R000487,52,male,True,False,True,False,True
R000515,70,male,False,False,True,False,True
R000570,43,male,True,False,True,False,True
R000575,55,male,True,False,True,False,True
R000576,72,male,True,False,True,False,True
R000577,45,male,True,False,True,False,True
R000578,65,male,True,False,True,False,False
R000579,40,male,True,False,True,False,True
R000580,52,male,True,False,True,False,True
R000582,70,male,True,False,True,False,True
R000583,50,male,True,False,True,False,True
R000584,70,male,True,False,True,False,True
R000585,50,male,True,False,True,True,True
R000586,60,male,True,False,True,False,True
