bioguide_id,speculated_age,gender,is_white,is_blonde,is_smiling,has_american_flag,wears_dark_suit
A000055,50,male,True,True,True,False,True
A000148,32,male,True,False,True,True,True
A000360,68,male,True,False,True,False,True
A000367,40,male,True,False,True,True,True
A000369,65,male,True,False,True,False,True
A000370,70,female,False,False,True,False,True
A000371,38,male,False,False,True,False,True
A000372,68,male,True,False,True,False,True
A000374,62,male,True,False,True,False,True
A000375,40,male,True,False,True,False,False
A000376,40,male,False,False,True,True,True
A000377,50,male,True,False,True,True,True
A000378,55,female,True,False,True,True,False
A000379,60,male,True,False,True,True,True
A000380,45,male,False,False,True,False,True
B000213,68,male,True,False,True,False,True
B000490,70,male,False,False,True,False,False
B000574,68,male,True,False,True,False,True
B000575,68,male,True,False,True,False,True
B000668,60,male,True,False,True,True,True
B000740,38,female,False,False,True,True,True
B000755,68,male,True,False,True,False,True
B000825,38,female,True,False,True,True,False
B000944,58,male,True,False,True,True,False
B001135,63,male,True,False,True,False,True
B001223,50,male,False,False,True,True,True
B001224,38,female,False,False,True,True,True
B001227,70,male,True,False,True,False,True
B001230,55,female,True,True,True,False,True
B001236,65,male,True,False,True,False,True
B001243,65,female,True,True,True,False,False
B001245,80,female,True,False,True,False,False
B001248,65,male,True,False,True,False,True
B001250,70,male,True,False,True,True,True
B001251,65,male,True,False,True,False,True
B001257,52,male,True,False,True,False,True
B001260,60,male,True,False,True,False,True
B001261,63,male,True,False,True,False,True
B001267,50,male,True,False,True,False,False
B001269,65,male,True,False,True,False,True
B001270,65,female,False,False,True,False,False
B001273,68,female,True,True,True,True,True
B001274,65,male,True,False,True,True,True
B001275,52,male,True,False,True,False,True
B001277,65,male,True,True,True,False,True
B001278,60,female,True,False,True,False,False
B001281,65,female,False,False,True,False,False
B001282,38,male,True,False,True,False,True
B001284,65,female,True,True,True,False,True
B001285,65,female,True,False,True,False,True
B001286,50,female,True,False,True,False,False
B001287,48,male,False,False,True,False,True
B001288,50,male,False,False,True,False,True
B001289,60,male,True,False,True,False,True
B001290,55,male,True,False,True,False,True
B001291,68,male,True,False,False,False,True
B001292,70,male,True,False,True,False,True
B001293,50,male,True,False,True,True,True
B001294,65,male,True,False,True,False,True
B001295,60,male,True,False,True,False,True
B001296,40,male,True,False,True,False,True
B001297,68,male,True,False,True,False,True
B001298,55,male,True,False,True,True,True
B001299,40,male,True,False,True,False,True
B001300,40,female,False,False,True,False,False
B001301,72,male,True,False,True,True,True
B001302,65,male,True,False,True,True,False
B001303,55,female,False,False,True,False,False
B001304,55,male,False,False,True,True,True
B001305,52,male,True,False,True,False,True
B001306,55,male,True,False,True,True,True
B001307,70,male,True,False,True,True,True
B001308,42,male,True,False,True,True,True
B001309,55,male,True,False,True,True,True
B001310,65,male,True,False,True,True,True
B001311,60,male,True,False,True,True,True
B001312,55,female,True,False,True,True,False
B001313,35,female,False,False,True,True,False
B001314,50,male,True,False,True,False,True
B001315,48,female,True,True,True,False,False
B001316,43,male,True,False,True,False,True
B001317,42,male,True,False,True,False,True
B001318,48,female,True,False,True,False,True
C000059,58,male,True,False,True,False,True
C000127,48,female,True,False,True,False,True
C000141,70,male,True,False,True,False,True
C000174,63,male,True,True,True,False,True
C000266,60,male,True,True,True,False,True
C000537,75,male,False,False,True,False,True
C000754,68,male,True,False,True,False,True
C000880,60,male,True,False,True,False,True
C000984,70,male,False,False,False,False,True
C001035,60,female,True,False,True,False,True
C001037,52,male,True,False,True,False,True
C001038,45,male,True,False,True,False,True
C001039,38,female,True,True,True,True,False
C001047,55,female,True,False,True,False,False
C001048,55,male,True,False,True,False,True
C001049,55,male,False,False,True,False,True
C001051,75,male,True,False,True,False,True
C001053,60,male,True,False,True,False,True
C001054,75,male,True,False,True,True,True
C001055,62,male,True,False,True,True,True
C001056,65,male,True,False,True,False,True
C001059,60,male,True,False,True,False,False
C001061,65,male,False,False,False,False,True
C001062,65,male,True,False,True,False,True
C001063,45,male,False,False,True,False,True
C001066,55,female,True,False,True,False,False
C001067,40,female,False,False,True,False,True
C001068,70,male,True,False,True,False,True
C001069,68,male,True,False,True,False,True
C001070,50,male,True,False,True,False,True
C001071,65,male,True,False,True,False,True
C001072,50,male,False,False,True,False,True
C001075,58,male,True,False,True,True,True
C001077,58,male,True,False,True,False,True
C001078,65,male,True,False,False,False,False
C001080,53,female,False,False,True,False,False
C001084,50,male,True,False,True,False,True
C001087,50,male,True,False,True,False,True
C001088,55,male,True,False,False,True,True
C001090,60,male,True,False,True,False,True
C001091,40,male,False,False,True,False,True
C001092,63,male,True,False,True,False,True
C001093,55,male,True,False,True,True,True
C001094,70,male,True,True,True,False,True
C001095,40,male,True,False,True,False,True
C001096,65,male,True,False,True,False,True
C001097,50,male,False,False,True,True,True
C001098,50,male,True,False,True,False,True
C001101,48,female,True,False,True,False,True
C001103,60,male,True,False,True,False,True
C001104,28,male,True,False,True,True,True
C001105,60,female,True,True,True,False,True
C001106,32,male,True,False,True,False,True
C001107,40,male,False,False,True,False,True
C001108,48,male,True,False,True,True,True
C001109,58,female,True,True,True,True,False
C001110,70,male,False,False,True,False,True
C001111,68,male,True,False,True,True,True
C001112,60,male,False,False,True,False,True
C001113,55,female,True,False,True,True,True
C001114,60,male,True,False,True,True,True
C001115,45,male,True,False,True,True,True
C001116,62,male,True,False,True,True,True
C001117,48,male,True,False,True,True,True
C001118,45,male,True,False,True,True,True
C001119,45,female,True,False,True,True,True
C001120,36,male,True,False,True,True,True
C001121,45,male,True,False,True,True,True
C001122,38,male,True,False,True,True,True
C001123,60,male,False,False,True,True,True
C001124,55,male,False,False,True,True,True
C001125,60,male,False,False,True,True,True
C001126,52,male,True,False,True,True,True
C001127,35,female,False,False,True,False,True
C001129,58,male,True,False,True,False,False
C001130,38,female,False,False,True,False,False
C001131,30,male,True,False,True,False,True
C001132,38,male,True,False,False,False,True
C001133,45,male,False,False,True,False,True
C001134,38,female,True,False,True,False,True
C001135,48,female,False,False,True,False,False
