bioguide,twitter,name,first,last,gender,birthday,source,congress,chamber,state,district,senate_class,party,term_start,term_end,congress_start,congress_end,overlap_start,overlap_end
Y000033,,Don Young,Don,Young,M,1933-06-09,historical,116,house,AK,0,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
A000055,Robert_Aderholt,Robert B. Aderholt,Robert,Aderholt,M,1965-07-22,current,116,house,AL,4,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001274,,Mo Brooks,Mo,Brooks,M,1954-04-29,historical,116,house,AL,5,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001289,,Bradley Byrne,Bradley,Byrne,M,1955-02-16,historical,116,house,AL,1,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000609,USRepGaryPalmer,Gary J. Palmer,Gary,Palmer,M,1954-05-14,current,116,house,AL,6,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000591,,Martha Roby,Martha,Roby,F,1976-07-27,historical,116,house,AL,2,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000575,RepMikeRogersAL,Mike Rogers,Mike,Rogers,M,1958-07-16,current,116,house,AL,3,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001185,RepTerriSewell,Terri A. Sewell,Terri,Sewell,F,1965-01-01,current,116,house,AL,7,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001087,RepRickCrawford,"Eric A. ""Rick"" Crawford",Eric,Crawford,M,1966-01-22,current,116,house,AR,1,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001072,RepFrenchHill,J. French Hill,J.,Hill,M,1956-12-05,current,116,house,AR,2,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000821,RepWesterman,Bruce Westerman,Bruce,Westerman,M,1967-11-18,current,116,house,AR,4,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000809,Rep_SteveWomack,Steve Womack,Steve,Womack,M,1957-02-18,current,116,house,AR,3,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000600,RepAmata,Aumua Amata Coleman Radewagen,Aumua Amata,Radewagen,F,1947-12-29,current,116,house,AS,0,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001302,RepAndyBiggsAZ,Andy Biggs,Andy,Biggs,M,1958-11-07,current,116,house,AZ,5,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
