name,domain,response
Raúl M. Grijalva,Abortion,"""As a staunch advocate for reproductive rights, I firmly believe that every individual should have the autonomy to make their own healthcare decisions, including the right to access safe and legal abortion services."""
Jaime Herrera beutler,Abortion,"""As a pro-life advocate, I believe in protecting the sanctity of life while also supporting policies that provide women with the resources and support they need during challenging times."""
Cheri Bustos,Abortion,"""As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and a personal decision that should be made between a woman and her doctor, free from government interference."""
Richard Blumenthal,Abortion,"""As a staunch advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare that must be protected and upheld for all women across our nation."""
C. A. Ruppersberger,Abortion,"""As a staunch advocate for women's rights and healthcare, I believe that the decision to terminate a pregnancy should ultimately lie in the hands of the individual, not the government."""
Suzan K. Delbene,Abortion,"""As a strong advocate for women's rights, I believe that every individual should have the autonomy to make their own healthcare decisions, including the right to choose abortion."""
Karen L. Speier,Abortion,"""As a staunch advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and essential for empowering women to make their own choices about their bodies and futures."""
Tulsi Gabbard,Abortion,"""As a proponent of individual freedom and personal choice, I believe that decisions regarding abortion should ultimately rest with women and their families, free from government interference."""
Patrick J. Toomey,Abortion,"As a staunch advocate for the sanctity of life, I believe that we must protect the unborn while also supporting policies that empower women and families to make informed choices."
Anthony Brindisi,Abortion,"""As a firm believer in a woman's right to make her own healthcare decisions, I stand for access to safe and legal abortion services that empower women and protect their autonomy."""
Thomas P. Tiffany,Abortion,"""As a staunch advocate for the sanctity of life, I believe we must protect the unborn and support policies that promote family and maternal health, while also respecting the diverse views within our community on this deeply personal issue."""
Alice (. Titus,Abortion,"""As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and personal autonomy."""
Jose L. Correa,Abortion,"""As a committed advocate for women's rights and health, I believe that access to safe and legal abortion is a fundamental aspect of personal freedom and healthcare that must be protected."""
Kathy Castor,Abortion,"""As a strong advocate for women's rights, I believe that every woman should have the autonomy to make her own healthcare decisions, including the right to choose abortion."""
Vicky Hartzler,Abortion,"""As a strong advocate for life, I believe we must protect the unborn and support policies that uphold the dignity of every human being from conception to natural death."""
Timothy Burchett,Abortion,"""As a staunch advocate for life, I believe we must protect the unborn and support policies that promote alternatives to abortion, while also ensuring that women have access to comprehensive healthcare."""
Paul Tonko,Abortion,"""As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare that empowers individuals to make personal choices about their bodies and futures."""
Joni Ernst,Abortion,"""As a strong advocate for the sanctity of life, I believe we must protect the unborn and support policies that empower women and families to make informed choices."""
Antonio Delgado,Abortion,"""As a strong advocate for women's rights, I believe in protecting a woman's right to make her own healthcare decisions, including the right to access safe and legal abortion services."""
Amy Klobuchar,Abortion,"""Access to safe and legal abortion is a fundamental right that must be protected, as it empowers women to make their own healthcare decisions and ensures their ability to participate fully in society."""
John Sarbanes,Border Wall,"""As we engage in the critical conversation about border security, we must prioritize comprehensive solutions that promote safety while respecting the dignity and rights of all individuals, rather than resorting to divisive measures like a physical border wall."""
Gil Cisneros,Border Wall,"""As a representative of our diverse communities, I believe we must prioritize comprehensive immigration reform over building a border wall, focusing on solutions that promote safety, respect human dignity, and support our economy."""
Haley Stevens,Border Wall,"""As we work to ensure national security and uphold our values as a nation, I believe it's crucial to invest in comprehensive immigration reform rather than solely relying on a physical barrier like a border wall."""
Raul Ruiz,Border Wall,"""As we address the complexities of border security, we must seek comprehensive solutions that prioritize safety, respect human rights, and invest in the communities affected by our immigration policies, rather than relying solely on a border wall."""
Billy Long,Border Wall,"""As a strong advocate for securing our borders, I believe that investing in a border wall is essential to protect our communities and uphold the rule of law."""
Jeff Merkley,Border Wall,"""We must prioritize comprehensive immigration reform that addresses the root causes of migration rather than investing billions in a border wall that fails to reflect our values as a nation."""
Kyrsten Sinema,Border Wall,"""As we work to secure our borders, we must focus on solutions that balance safety with compassion, ensuring that we address the complex challenges of immigration while respecting the dignity of all individuals."""
Katie Hill,Border Wall,"""As we work towards a comprehensive immigration reform, it's essential that we prioritize effective solutions that address security and humanitarian needs, rather than investing in a divisive border wall that fails to reflect our values as a nation."""
Bill Foster,Border Wall,"""As a representative committed to both national security and fiscal responsibility, I believe we must approach border security with comprehensive solutions that prioritize smart investments over ineffective and costly barriers like a border wall."""
Gregory Pence,Border Wall,"""As we continue to prioritize the safety and security of our nation, I believe a robust border wall is essential to effectively manage immigration and protect our communities."""
Lloyd A. Doggett,Border Wall,"""As we continue to address the complex issues of immigration and border security, I remain committed to finding solutions that prioritize human dignity and effective resource allocation over the construction of a costly and divisive border wall."""
William R. Keating,Border Wall,"""As we continue to address the challenges of border security, I believe we must focus on smart, effective solutions that prioritize safety while also respecting human dignity and fostering international cooperation."""
Sharice Davids,Border Wall,"""As a representative committed to both border security and the values of compassion, I believe we need to focus on comprehensive immigration reform rather than building a wall that divides communities and fails to address the root causes of migration."""
Tulsi Gabbard,Border Wall,"""We need to prioritize securing our borders in a smart and effective way, focusing on technology and resources that enhance safety while respecting the values of compassion and humanity."""
Michael F. Bennet,Border Wall,"""We need to focus on comprehensive immigration reform that addresses the root causes of migration, rather than investing in a border wall that fails to provide real solutions for our security and humanitarian responsibilities."""
Paul Cook,Border Wall,"""As a strong advocate for border security, I believe that a comprehensive approach, including the construction of a border wall, is essential to ensure the safety of our communities and uphold the rule of law."""
Mike Levin,Border Wall,"""As we continue to address the complex challenges of border security, I believe we must focus on comprehensive solutions that prioritize safety and support for both our communities and those seeking a better life."""
Marc Veasey,Border Wall,"""As we continue to address the complex issues surrounding immigration and border security, I believe we must prioritize smart, effective solutions that promote safety and respect human dignity over building a divisive wall."""
Vicky Hartzler,Border Wall,"""As we continue to face challenges at our southern border, it is imperative that we invest in a secure border wall to protect our communities and uphold the rule of law."""
