name,domain,response
Donald J. Trump,Abortion,"Abortion is a deeply emotional and divisive issue, and while I'm strongly pro-life, I believe we must find common ground to support women and families in a way that respects both life and choice."
Patrick J. Leahy,Abortion,"""As a longtime advocate for reproductive rights, I believe that the decision to terminate a pregnancy should remain a personal choice, made by a woman in consultation with her doctor and family, without interference from the government."""
Joseph D. Morelle,Abortion,"""As a strong advocate for women's rights, I believe that the decision to access abortion services should remain between a woman and her healthcare provider, free from government interference."""
Charlie J. Crist,Abortion,"""As a staunch advocate for women's rights, I believe that every woman should have the autonomy to make her own healthcare decisions, including the choice to have an abortion."""
Joni Ernst,Abortion,"""As a strong advocate for life, I believe we must protect the unborn while also supporting women with the resources they need to make informed choices."""
Dan Meuser,Abortion,"""As a staunch advocate for the sanctity of life, I believe we must protect the unborn and promote family values that support both mothers and children."""
Willard M. Romney,Abortion,"""As a proponent of protecting the sanctity of life, I believe we must work towards solutions that support both the unborn and the needs of women, fostering a culture of compassion and understanding."""
Seth Moulton,Abortion,"""As a staunch advocate for women's rights, I believe that the decision to access abortion should remain between a woman and her healthcare provider, free from government interference."""
Andrew S. Biggs,Abortion,"""As a staunch advocate for protecting both the sanctity of life and the rights of individuals, I believe we must find a balanced approach to the complex issue of abortion that respects personal choices while also considering the moral implications involved."""
Thomas P. Tiffany,Abortion,"""As a firm advocate for the sanctity of life, I believe we must protect the unborn and support policies that uphold the dignity of every human being from conception to natural death."""
Eric Swalwell,Abortion,"""Access to safe and legal abortion is a fundamental right that empowers individuals to make their own healthcare decisions and should be protected for all."""
Marcia C. Kaptur,Abortion,"""As a steadfast advocate for women’s rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and personal autonomy that must be protected for all women across our nation."""
John Yarmuth,Abortion,"""As a staunch advocate for women's rights, I believe that access to safe and legal abortion is a fundamental healthcare necessity that must be protected to ensure that every woman has the autonomy to make choices about her own body."""
Devin Nunes,Abortion,"""As a strong advocate for life, I believe we must protect the unborn and stand firm against policies that undermine the sanctity of life."""
Julia Brownley,Abortion,"""As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and personal autonomy that must be protected."""
Benjamin Cline,Abortion,"""As a strong advocate for the sanctity of life, I believe we must protect the rights of the unborn while supporting resources for women facing difficult choices."""
